"Target;""Gene"";""Note"";""Product"";""Abs.Offset"";""Ref.seq.len"";""Translated""",,,,,,
"SED_RS00540;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""chitinase"";""17868"";""2100"";""yes""",,,,,,
"SED_RS00545;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""20059"";""2997"";""yes""",,,,,,
"SED_RS00550;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""23336"";""705"";""yes""",,,,,,
"SED_RS00555;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial protein BcfA"";""24470"";""543"";""yes""",,,,,,
"SED_RS00560;"""";""fimbrial protein chaperone; interacts with BcfD; Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial chaperone protein BcfB"";""25113"";""687"";""yes""",,,,,,
"SED_RS00565;"""";""involved in fimbria production; Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial biogenesis outer membrane usher protein"";""25804"";""2622"";""yes""",,,,,,
"SED_RS00570;"""";""involved in the regulation of length and mediates adhesion; Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial adhesin FimH"";""28426"";""1008"";""yes""",,,,,,
"SED_RS00575;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial protein BcfE"";""29434"";""546"";""yes""",,,,,,
"SED_RS00580;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial protein BcfF"";""29995"";""519"";""yes""",,,,,,
"SED_RS00585;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""fimbrial chaperone"";""30479"";""732"";""yes""",,,,,,
"SED_RS00590;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DsbA family protein"";""31274"";""846"";""yes""",,,,,,
"SED_RS00595;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""32158"";""288"";""yes""",,,,,,
"SED_RS00600;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator"";""32545"";""450"";""yes""",,,,,,
"SED_RS00605;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""LysR family transcriptional regulator"";""33364"";""1005"";""yes""",,,,,,
"SED_RS00610;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator"";""34376"";""441"";""yes""",,,,,,
"SED_RS00615;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""arylsulfatase"";""35339"";""1719"";""yes""",,,,,,
"SED_RS00620;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""bifunctional metallophosphatase/5'-nucleotidase"";""37103"";""1572"";""yes""",,,,,,
"SED_RS00625;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""38773"";""762"";""yes""",,,,,,
"SED_RS00630;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF229 domain-containing protein"";""40128"";""1494"";""yes""",,,,,,
"SED_RS00635;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""anaerobic sulfatase maturase"";""41720"";""1191"";""yes""",,,,,,
"SED_RS00640;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""42929"";""1254"";""yes""",,,,,,
"SED_RS00645;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""arylsulfatase"";""44309"";""1716"";""yes""",,,,,,
"SED_RS00650;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""Na+/H+ antiporter NhaA"";""46187"";""1167"";""yes""",,,,,,
"SED_RS00655;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional activator NhaR"";""47415"";""900"";""yes""",,,,,,
"SED_RS00660;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glycoside hydrolase family 31 protein"";""48369"";""2040"";""yes""",,,,,,
"SED_RS00665;"""";""internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology."";""MFS transporter"";""50448"";""1374"";""yes""",,,,,,
"SED_RS00670;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""30S ribosomal protein S20"";""52277"";""264"";""yes""",,,,,,
"SED_RS00675;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2575 domain-containing protein"";""52646"";""216"";""yes""",,,,,,
"SED_RS00680;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""bifunctional riboflavin kinase/FAD synthetase"";""52869"";""939"";""yes""",,,,,,
"SED_RS00685;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""isoleucine--tRNA ligase"";""53852"";""2835"";""yes""",,,,,,
"SED_RS00690;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""lipoprotein signal peptidase"";""56686"";""501"";""yes""",,,,,,
"SED_RS00695;"""";""rotamase; accelerates isomerization of the peptidyl prolyl bond"," involved in the folding of proteases; Derived by automated computational analysis using gene prediction method: Protein Homology."";""FKBP-type peptidyl-prolyl cis-trans isomerase"";""57341"";""450"";""yes""",,,,,
"SED_RS00700;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""4-hydroxy-3-methylbut-2-enyl diphosphate reductase"";""57793"";""951"";""yes""",,,,,,
"SED_RS00705;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""59186"";""960"";""yes""",,,,,,
"SED_RS00710;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""non-specific ribonucleoside hydrolase RihC"";""60161"";""921"";""yes""",,,,,,
"SED_RS00715;""dpiA"";""regulates the expression of citrate fermentation genes; Derived by automated computational analysis using gene prediction method: Protein Homology."";""response regulator"";""61103"";""687"";""yes""",,,,,,
"SED_RS00720;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""sensor histidine kinase"";""61791"";""1620"";""yes""",,,,,,
"SED_RS00725;"""";""catalyzes the formation of pyruvate from oxaloacetate; sodium translocating; Derived by automated computational analysis using gene prediction method: Protein Homology."";""oxalacetate decarboxylase subunit beta"";""63545"";""1302"";""yes""",,,,,,
"SED_RS00735;"""";""catalyzes the decarboxylation of oxaloacetate to form pyruvate and carbon dioxide; Derived by automated computational analysis using gene prediction method: Protein Homology."";""oxaloacetate decarboxylase subunit gamma"";""66647"";""240"";""yes""",,,,,,
"SED_RS00740;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""citrate:sodium symporter"";""67045"";""1341"";""yes""",,,,,,
"SED_RS00745;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""[citrate (pro-3S)-lyase] ligase"";""68630"";""1044"";""yes""",,,,,,
"SED_RS00750;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""citrate lyase ACP"";""69703"";""294"";""yes""",,,,,,
"SED_RS00755;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""citrate (pro-3S)-lyase subunit beta"";""69993"";""870"";""yes""",,,,,,
"SED_RS00760;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""citrate lyase subunit alpha"";""70873"";""1521"";""yes""",,,,,,
"SED_RS00765;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""citrate lyase holo-[acyl-carrier protein] synthase"";""72393"";""552"";""yes""",,,,,,
"SED_RS00770;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""triphosphoribosyl-dephospho-CoA synthase"";""72922"";""909"";""yes""",,,,,,
"SED_RS00775;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""4-hydroxy-tetrahydrodipicolinate reductase"";""74010"";""822"";""yes""",,,,,,
"SED_RS25700;"""";""frameshifted; Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""74938"";""313"";""yes""",,,,,,
"SED_RS00780;"""";""catalyzes production of carbamoyl phosphate from bicarbonate and glutamine in pyrimidine and arginine biosynthesis pathways; forms an octamer composed of four CarAB dimers; Derived by automated computational analysis using gene prediction method: Protein Homology."";""carbamoyl-phosphate synthase small subunit"";""75695"";""1149"";""yes""",,,,,,
"SED_RS00785;""carB"";""four CarB-CarA dimers form the carbamoyl phosphate synthetase holoenzyme that catalyzes the production of carbamoyl phosphate; CarB is responsible for the amidotransferase activity; Derived by automated computational analysis using gene prediction method: Protein Homology."";""carbamoyl-phosphate synthase large subunit"";""76862"";""3228"";""yes""",,,,,,
"SED_RS00790;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""CaiF/GrlA family transcriptional regulator"";""80363"";""396"";""yes""",,,,,,
"SED_RS00795;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""carnitine operon protein CaiE"";""80835"";""597"";""yes""",,,,,,
"SED_RS00800;"""";""catalyzes the dehydration of L-carnitinyl-CoA to crotonobetainyl-CoA; Derived by automated computational analysis using gene prediction method: Protein Homology."";""carnitinyl-CoA dehydratase"";""81541"";""786"";""yes""",,,,,,
"SED_RS00805;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""ATP-dependent acyl-CoA ligase"";""82380"";""1554"";""yes""",,,,,,
"SED_RS00810;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""L-carnitine CoA-transferase"";""83996"";""1218"";""yes""",,,,,,
"SED_RS00815;"""";""catalyzes the reduction of crotonobetainyl-CoA to gamma-butyrobetainyl-CoA; Derived by automated computational analysis using gene prediction method: Protein Homology."";""crotonobetainyl-CoA dehydrogenase"";""85325"";""1143"";""yes""",,,,,,
"SED_RS00820;"""";""catalyzes the exchange of L-carnitine for gamma-butyrobetaine in carnitine metabolism; Derived by automated computational analysis using gene prediction method: Protein Homology."";""L-carnitine/gamma-butyrobetaine antiporter"";""86502"";""1518"";""yes""",,,,,,
"SED_RS00825;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""88247"";""186"";""yes""",,,,,,
"SED_RS00830;"""";""required for anaerobic carnitine reduction"," may act to transfer electrons to crotonobetaine reductase; Derived by automated computational analysis using gene prediction method: Protein Homology."";""protein FixA"";""88500"";""771"";""yes""",,,,,
"SED_RS00835;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""electron transfer flavoprotein subunit alpha/FixB family protein"";""89286"";""942"";""yes""",,,,,,
"SED_RS00840;"""";""FAD/NAD(P)-binding domain; possibly part of an electron transfer system required for anaerobic carnitine reduction; Derived by automated computational analysis using gene prediction method: Protein Homology."";""FAD-dependent oxidoreductase"";""90277"";""1287"";""yes""",,,,,,
"SED_RS00845;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""ferredoxin-like protein FixX"";""91560"";""288"";""yes""",,,,,,
"SED_RS00850;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""MFS transporter"";""91994"";""1341"";""yes""",,,,,,
"SED_RS00855;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""YgdI/YgdR family lipoprotein"";""93423"";""231"";""yes""",,,,,,
"SED_RS00860;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glutathione-regulated potassium-efflux system ancillary protein KefF"";""93753"";""531"";""yes""",,,,,,
"SED_RS00865;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glutathione-regulated potassium-efflux system protein KefC"";""94276"";""1863"";""yes""",,,,,,
"SED_RS00870;""folA"";""catalyzes the reduction of dihydrofolate to tetrahydrofolate; Derived by automated computational analysis using gene prediction method: Protein Homology."";""type 3 dihydrofolate reductase"";""96337"";""480"";""yes""",,,,,,
"SED_RS00875;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""bis(5'-nucleosyl)-tetraphosphatase (symmetrical)"";""96922"";""849"";""yes""",,,,,,
"SED_RS00880;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""Co2+/Mg2+ efflux protein ApaG"";""97781"";""378"";""yes""",,,,,,
"SED_RS00885;""ksgA"";""in Escherichia coli this enzyme catalyzes the transfer of a total of four methyl groups from S-adenosyl-l-methionine (S-AdoMet) to two adjacent adenosine bases A1518 and A1519 in 16S rRNA; mutations in ksgA causes resistance to the translation initiation inhibitor kasugamycin; members of this protein family have secondary functions; Derived by automated computational analysis using gene prediction method: Protein Homology."";""ribosomal RNA small subunit methyltransferase A"";""98161"";""822"";""yes""",,,,,,
"SED_RS00890;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""4-hydroxythreonine-4-phosphate dehydrogenase 1"";""98979"";""990"";""yes""",,,,,,
"SED_RS00895;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""chaperone SurA"";""99968"";""1287"";""yes""",,,,,,
"SED_RS00900;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""LPS assembly protein LptD"";""101308"";""2361"";""yes""",,,,,,
"SED_RS00905;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""molecular chaperone DjlA"";""103922"";""813"";""yes""",,,,,,
"SED_RS00910;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""bifunctional tRNA pseudouridine(32) synthase/23S rRNA pseudouridine(746) synthase RluA"";""104829"";""660"";""yes""",,,,,,
"SED_RS00915;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""RNA polymerase-associated protein RapA"";""105500"";""2907"";""yes""",,,,,,
"SED_RS00920;"""";""Has polymerase"," DNA-binding and 3'-5' exonuclease activities. In Aeropyrum pernix this protein is sensitive to aphidicolin and stable at 95#C; Derived by automated computational analysis using gene prediction method: Protein Homology."";""DNA polymerase II"";""108580"";""2352"";""yes""",,,,,
"SED_RS00925;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""YdcF family protein"";""110975"";""621"";""yes""",,,,,,
"SED_RS24270;"""";""incomplete; partial in the middle of a contig; missing start; Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""111689"";""210"";""yes""",,,,,,
"SED_RS00930;"""";""internal stop; Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF4751 domain-containing protein"";""112113"";""420"";""yes""",,,,,,
"SED_RS00935;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""L-ribulose-5-phosphate 4-epimerase"";""112538"";""696"";""yes""",,,,,,
"SED_RS00940;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""L-arabinose isomerase"";""113374"";""1503"";""yes""",,,,,,
"SED_RS00945;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""ribulokinase"";""114887"";""1710"";""yes""",,,,,,
"SED_RS00950;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""arabinose operon regulatory protein"";""116936"";""846"";""yes""",,,,,,
"SED_RS00955;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DedA family protein"";""117900"";""768"";""yes""",,,,,,
"SED_RS00960;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""thiamine ABC transporter ATP-binding protein ThiQ"";""118706"";""708"";""yes""",,,,,,
"SED_RS00965;""thiP"";""permease; with TbpA and ThiQ functions in transport of thiamine and thiamine pyrophosphate into the cell; repressed in presence of exogenous thiamine; Derived by automated computational analysis using gene prediction method: Protein Homology."";""thiamine/thiamine pyrophosphate ABC transporter permease ThiP"";""119397"";""1611"";""yes""",,,,,,
"SED_RS00970;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""thiamine ABC transporter substrate binding subunit"";""120983"";""984"";""yes""",,,,,,
"SED_RS00975;"""";""activates sgrS under glucose-phosphate stress conditions; Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator SgrR"";""122144"";""1659"";""yes""",,,,,,
"SED_RS00980;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""glucose uptake inhibitor SgrT"";""123895"";""123"";""yes""",,,,,,
"SED_RS00985;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""124337"";""282"";""yes""",,,,,,
"SED_RS00990;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""3-isopropylmalate dehydratase small subunit"";""124672"";""606"";""yes""",,,,,,
"SED_RS00995;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""3-isopropylmalate dehydratase large subunit"";""125288"";""1401"";""yes""",,,,,,
"SED_RS01000;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""3-isopropylmalate dehydrogenase"";""126691"";""1092"";""yes""",,,,,,
"SED_RS01005;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""2-isopropylmalate synthase"";""127782"";""1572"";""yes""",,,,,,
"SED_RS01010;"""";""involved in attenuation control of the leuABCD operon in leucine biosynthesis; Derived by automated computational analysis using gene prediction method: Protein Homology."";""leu operon leader peptide"";""129441"";""87"";""yes""",,,,,,
"SED_RS01015;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""transcriptional regulator"";""130184"";""945"";""yes""",,,,,,
"SED_RS01020;"""";""catalyzes the formation of 2-acetolactate from pyruvate"," leucine sensitive; Derived by automated computational analysis using gene prediction method: Protein Homology."";""acetolactate synthase 3 large subunit"";""131423"";""1752"";""yes""",,,,,
"SED_RS01025;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""acetolactate synthase small subunit"";""133177"";""492"";""yes""",,,,,,
"SED_RS01030;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""catabolite repressor/activator"";""133952"";""1005"";""yes""",,,,,,
"SED_RS01035;"""";""MraZ; UPF0040; crystal structure shows similarity to AbrB; Derived by automated computational analysis using gene prediction method: Protein Homology."";""division/cell wall cluster transcriptional repressor MraZ"";""135562"";""459"";""yes""",,,,,,
"SED_RS01040;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""ribosomal RNA small subunit methyltransferase H"";""136022"";""942"";""yes""",,,,,,
"SED_RS01045;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division protein FtsL"";""136960"";""366"";""yes""",,,,,,
"SED_RS01050;"""";""penicillin-binding protein 3; transpeptidase involved in septal peptidoglycan synthesis; Derived by automated computational analysis using gene prediction method: Protein Homology."";""peptidoglycan glycosyltransferase FtsI"";""137341"";""1767"";""yes""",,,,,,
"SED_RS01055;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2"," 6-diaminopimelate ligase"";""139094"";""1488"";""yes""",,,,,
"SED_RS01060;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase"";""140578"";""1359"";""yes""",,,,,,
"SED_RS01065;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""phospho-N-acetylmuramoyl-pentapeptide- transferase"";""141930"";""1083"";""yes""",,,,,,
"SED_RS01070;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase"";""143015"";""1317"";""yes""",,,,,,
"SED_RS01075;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division protein FtsW"";""144331"";""1245"";""yes""",,,,,,
"SED_RS01080;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase"";""145572"";""1068"";""yes""",,,,,,
"SED_RS01085;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""UDP-N-acetylmuramate--L-alanine ligase"";""146758"";""1476"";""yes""",,,,,,
"SED_RS01090;""ddl"";""D-alanine--D-alanine ligase; DdlA; DdlB; cytoplasmic; catalyzes the formation of D-alanyl-D-alanine from two D-alanines in peptidoglycan synthesis; there are two forms of this enzyme in Escherichia coli; Derived by automated computational analysis using gene prediction method: Protein Homology."";""D-alanine--D-alanine ligase"";""148226"";""858"";""yes""",,,,,,
"SED_RS01095;"""";""involved in septum formation; Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division protein FtsQ"";""149085"";""831"";""yes""",,,,,,
"SED_RS01100;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division protein FtsA"";""149912"";""1263"";""yes""",,,,,,
"SED_RS01105;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division protein FtsZ"";""151235"";""1152"";""yes""",,,,,,
"SED_RS01110;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase"";""152487"";""918"";""yes""",,,,,,
"SED_RS01115;"""";""secM translational pause allows for the initiation of secA translation; Derived by automated computational analysis using gene prediction method: Protein Homology."";""secA regulator SecM"";""153656"";""525"";""yes""",,,,,,
"SED_RS01120;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""protein translocase subunit SecA"";""154242"";""2706"";""yes""",,,,,,
"SED_RS01125;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""8-oxo-dGTP diphosphatase MutT"";""157099"";""396"";""yes""",,,,,,
"SED_RS01130;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""aldo/keto reductase"";""157528"";""990"";""yes""",,,,,,
"SED_RS01135;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""LysR family transcriptional regulator"";""158603"";""942"";""yes""",,,,,,
"SED_RS01140;"""";""inhibits supercoiling by DNA gyrase by binding to the GyrB subunit; Derived by automated computational analysis using gene prediction method: Protein Homology."";""DNA gyrase inhibitor YacG"";""159541"";""192"";""yes""",,,,,,
"SED_RS01145;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""cell division protein ZapD"";""159742"";""744"";""yes""",,,,,,
"SED_RS01150;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""dephospho-CoA kinase"";""160485"";""621"";""yes""",,,,,,
"SED_RS01155;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""guanosine monophosphate reductase"";""161331"";""1044"";""yes""",,,,,,
"SED_RS01160;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type IV pilin biogenesis protein"";""162405"";""1203"";""yes""",,,,,,
"SED_RS01165;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""type II secretion system protein GspE"";""163597"";""1386"";""yes""",,,,,,
"SED_RS01170;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""prepilin peptidase-dependent pilin"";""164992"";""438"";""yes""",,,,,,
"SED_RS24275;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""165455"";""183"";""yes""",,,,,,
"SED_RS01175;"""";""catalyzes the formation of pyridine-2","3-dicarboxylate and 5-phospho-alpha-D-ribose 1-diphosphate from nictinate D-ribonucleotide; Derived by automated computational analysis using gene prediction method: Protein Homology."";""nicotinate-nucleotide pyrophosphorylase [carboxylating]"";""165651"";""894"";""yes""",,,,,
"SED_RS01180;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""1","6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD"";""166632"";""564"";""yes""",,,,,
"SED_RS01185;"""";""involved in regulation of beta-lactamase; putative signaling protein; Derived by automated computational analysis using gene prediction method: Protein Homology."";""beta-lactamase regulator AmpE"";""167192"";""855"";""yes""",,,,,,
"SED_RS01190;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""alpha-N-arabinofuranosidase"";""168138"";""951"";""yes""",,,,,,
"SED_RS01195;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""MFS transporter"";""169088"";""1407"";""yes""",,,,,,
"SED_RS01200;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""aromatic amino acid transporter AroP"";""170658"";""1371"";""yes""",,,,,,
"SED_RS01205;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""pyruvate dehydrogenase complex repressor"";""172594"";""765"";""yes""",,,,,,
"SED_RS25705;"""";""internal stop; incomplete; partial in the middle of a contig; missing stop; Derived by automated computational analysis using gene prediction method: Protein Homology."";""hypothetical protein"";""173375"";""210"";""yes""",,,,,,
"SED_RS01210;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""pyruvate dehydrogenase (acetyl-transferring)"," homodimeric type"";""173518"";""2664"";""yes""",,,,,
"SED_RS01215;""aceF"";""E2 component of pyruvate dehydrogenase multienzyme complex; in Escherichia coli AceF contains three N-terminal lipoyl domains; Derived by automated computational analysis using gene prediction method: Protein Homology."";""pyruvate dehydrogenase complex dihydrolipoyllysine-residue acetyltransferase"";""176196"";""1890"";""yes""",,,,,,
"SED_RS01220;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""dihydrolipoyl dehydrogenase"";""178286"";""1425"";""yes""",,,,,,
"SED_RS01225;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""outer membrane protein"";""179999"";""285"";""yes""",,,,,,
"SED_RS01230;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF2950 domain-containing protein"";""180321"";""792"";""yes""",,,,,,
"SED_RS01235;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""DUF3300 domain-containing protein"";""181125"";""1626"";""yes""",,,,,,
"SED_RS01240;"""";""Derived by automated computational analysis using gene prediction method: Protein Homology."";""bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase"";""183139"";""2598"";""yes""",,,,,,
